,phrase,label,sentiment,subjectivity,language,count
BMW,BMW,ORG,0.25,0.0,de,8
"Schweiz, International, Sport, Digital, Wirtschaft, Auto &","Schweiz, International, Sport, Digital, Wirtschaft, Auto &",ORG,0.0,0.8571428571428571,de,7
Schaeffler,Schaeffler,ORG,-0.06666666666666667,0.0,de,7
KURZMELDUNGEN,KURZMELDUNGEN,ORG,0.049999999999999996,0.07142857142857142,de,7
NZZ,NZZ,ORG,0.0,0.8571428571428571,de,7
E-Autos,E-Autos,ORG,0.0,0.0,de,6
…,…,ORG,0.2,0.0,de,5
ADAC,ADAC,ORG,0.35,0.5,de,4
Grünen?,Grünen?,ORG,0.0,0.0,de,3
SPIEGEL,SPIEGEL,ORG,0.6999999999999998,0.0,de,3
E-Paper,E-Paper,ORG,0.6999999999999998,0.0,de,3
Mercedes,Mercedes,ORG,0.9,0.0,de,3
Opec+,Opec+,ORG,0.0,0.6666666666666666,de,3
EZB,EZB,ORG,0.11666666666666665,0.0,de,3
WELT,WELT,ORG,0.7999999999999999,0.0,de,3
EU-Kommission,EU-Kommission,ORG,0.0,0.0,de,3
EU,EU,ORG,1.0,0.0,,2
Gewerkschaft,Gewerkschaft,ORG,0.0,0.0,de,2
Hybrid-PKW,Hybrid-PKW,ORG,0.0,0.5,de,2
Skisprung-Fans,Skisprung-Fans,ORG,0.0,0.0,de,2
Unia,Unia,ORG,0.0,0.0,de,2
ARD,ARD,ORG,0.0,0.0,de,2
Paris,Paris,ORG,0.0,0.0,de,2
Stellantis,Stellantis,ORG,0.0,0.0,de,2
Scientist Rebellion,Scientist Rebellion,ORG,0.0,0.0,de,2
"Slalom  kicker
","Slalom  kicker
",ORG,-0.10499999999999998,0.0,de,2
Europäischen Küsten,Europäischen Küsten,ORG,0.7,0.0,de,2
General Motors,General Motors,ORG,0.7749999999999999,0.0,de,2
Erdgas-Händler,Erdgas-Händler,ORG,0.35,0.0,de,2
Weltverbands,Weltverbands,ORG,0.0,0.0,de,2
Münchner Autobauers,Münchner Autobauers,ORG,1.0,0.0,de,2
Gazprom-Tochter.,Gazprom-Tochter.,ORG,0.0,0.0,de,1
"Gazprom-Tochter
Die Gazprom-Tochter Sefe","Gazprom-Tochter
Die Gazprom-Tochter Sefe",ORG,0.0,0.0,de,1
Australien: Hubschrauber,Australien: Hubschrauber,ORG,0.0,0.0,de,1
die Grünen,die Grünen,ORG,0.0,0.0,de,1
AKW,AKW,ORG,-1.0,0.0,de,1
Autovermieter Sixt,Autovermieter Sixt,ORG,0.0,0.0,de,1
FIS,FIS,ORG,0.7,0.0,de,1
"Foto: IMAGO/Beautiful Sports) 
","Foto: IMAGO/Beautiful Sports) 
",ORG,0.0,0.0,de,1
Euro-Raum,Euro-Raum,ORG,0.0,0.0,de,1
LNG,LNG,ORG,0.0,0.0,de,1
SPD,SPD,ORG,0.0,0.0,de,1
CO₂-Budget,CO₂-Budget,ORG,-1.0,0.0,de,1
CO-Budget,CO-Budget,ORG,-1.0,0.0,de,1
Sixt,Sixt,ORG,0.0,0.0,de,1
EQE,EQE,ORG,1.0,0.0,de,1
Elektroauto,Elektroauto,ORG,1.0,0.0,de,1
Thermofenster,Thermofenster,ORG,-1.0,0.0,de,1
Levi.,Levi.,ORG,0.15000000000000002,0.0,de,1
© ANSA,© ANSA,ORG,1.0,0.0,de,1
KIMMO,KIMMO,ORG,1.0,0.0,de,1
Mikaela…,Mikaela…,ORG,0.0,0.0,de,1
Meinungsforschungsinstituts Yougov zeigt,Meinungsforschungsinstituts Yougov zeigt,ORG,0.0,0.0,de,1
Halbpension & Sauna,Halbpension & Sauna,ORG,0.7,0.0,de,1
Südtiroler HTI,Südtiroler HTI,ORG,0.0,0.0,de,1
Sixt.,Sixt.,ORG,0.0,0.0,de,1
Aluminiumgießerei Röders,Aluminiumgießerei Röders,ORG,0.7,0.0,de,1
Renault,Renault,ORG,0.0,0.0,de,1
Geely: Renault,Geely: Renault,ORG,0.0,0.0,de,1
SP,SP,ORG,1.0,0.0,de,1
Steigende,Steigende,ORG,0.0,0.0,de,1
… Berlin,… Berlin,ORG,0.7,0.0,de,1
Institut Yougov,Institut Yougov,ORG,0.0,0.0,de,1
"Rennkeil: Unbequem,","Rennkeil: Unbequem,",ORG,0.0,0.0,de,1
Morgan Super 3,Morgan Super 3,ORG,0.0,0.0,de,1
Organisatoren,Organisatoren,ORG,0.0,0.0,de,1
Deutsche Weininstitut,Deutsche Weininstitut,ORG,0.0,0.0,de,1
DWI,DWI,ORG,0.0,0.0,de,1
Elektrostrategie.,Elektrostrategie.,ORG,1.0,0.0,de,1
A…,A…,ORG,0.7,0.0,de,1
FOCUS,FOCUS,ORG,0.0,0.0,de,1
Just Stop Oil,Just Stop Oil,ORG,0.0,0.0,de,1
Zürcher HB,Zürcher HB,ORG,0.0,0.0,de,1
Gewerkschaft…,Gewerkschaft…,ORG,0.0,0.0,de,1
Sunrise,Sunrise,ORG,0.0,0.0,de,1
Aldi,Aldi,ORG,0.0,0.0,de,1
Wisla:,Wisla:,ORG,0.0,0.0,de,1
Grüne,Grüne,ORG,0.0,0.0,de,1
Auto Motor,Auto Motor,ORG,0.0,0.0,de,1
Motorworld München,Motorworld München,ORG,0.0,0.0,de,1
Europas Küs…,Europas Küs…,ORG,0.0,0.0,de,1
"Zweite, Koffeinbrause","Zweite, Koffeinbrause",ORG,0.0,0.0,de,1
Zukunf…,Zukunf…,ORG,0.0,0.0,de,1
rus…,rus…,ORG,0.0,0.0,de,1
HTI-Unternehmensgruppe,HTI-Unternehmensgruppe,ORG,0.0,0.0,de,1
