index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.morgenpost.de/wirtschaft/article236733451/Wandern-statt-Skifahren-Viele-wollen-am-Winterurlaub-sparen.html,https://www.morgenpost.de/wirtschaft/article236733451/Wandern-statt-Skifahren-Viele-wollen-am-Winterurlaub-sparen.html,0,www.morgenpost.de,Kosten: Wandern statt Skifahren: Viele wollen am Winterurlaub sparen,Skiurlaub in den Alpen ist teurer als Sommerferien am Nordseestrand. Die inflationsbedingte Schrumpfung des verfügbaren Einkommens wird für Wintersportorte voraussichtlich nicht folgenlos bleiben.,https://img.morgenpost.de/img/wirtschaft/crop236733453/3422602596-w820-cv16_9-q85/Deutsche-Skigebiete.jpg,2022-10-23T03:46:35Z,https://web.archive.org/web/20221023061754/https://www.morgenpost.de/wirtschaft/article236733451/Wandern-statt-Skifahren-Viele-wollen-am-Winterurlaub-sparen.html,München. Skigebiete und Winterurlaubsorte werden in der kommenden Saison voraussichtlich die Folgen der hohen Inflation spüren. Nach einer neuen Umfrage will wegen steigender Kosten über ein Viertel … [+2569 chars],,de,'Ski Winter'
https://www.stern.de/gesellschaft/regional/bayern/tourismus--wandern-statt-skifahren--viele-wollen-am-winterurlaub-sparen-32841736.html,https://www.stern.de/gesellschaft/regional/bayern/tourismus--wandern-statt-skifahren--viele-wollen-am-winterurlaub-sparen-32841736.html,0,www.stern.de,Tourismus: Wandern statt Skifahren: Viele wollen am Winterurlaub sparen,Skiurlaub in den Alpen ist erheblich teurer als Sommerferien am Nordseestrand. Die inflationsbedingte Schrumpfung des verfügbaren Einkommens wird für Wintersportorte voraussichtlich nicht folgenlos bleiben.,https://image.stern.de/32841738/t/33/v2/w1440/r1.7778/-/23--urnnewsmldpacom2009010122102399229070v3w800h600l490t582r1770b1542jpeg---0f10f33c69dde91f.jpg,2022-10-23T07:30:54Z,https://web.archive.org/web/20221023074330/https://www.stern.de/gesellschaft/regional/bayern/tourismus--wandern-statt-skifahren--viele-wollen-am-winterurlaub-sparen-32841736.html,Skiurlaub in den Alpen ist erheblich teurer als Sommerferien am Nordseestrand. Die inflationsbedingte Schrumpfung des verfügbaren Einkommens wird für Wintersportorte voraussichtlich nicht folgenlos b… [+2697 chars],,de,'Ski Tourismus'
https://www.faz.net/aktuell/rhein-main/region-und-hessen/weinlese-an-der-bergstrasse-18402081.html,https://www.faz.net/aktuell/rhein-main/region-und-hessen/weinlese-an-der-bergstrasse-18402081.html,0,www.faz.net,Weinlese an der Bergstraße,"Trotz Dürresommer und verregnetem Herbst freuen sich die Bergsträsser Winzer über einen guten Jahrgang 2022 – und über ihre Weinkönigin. Nur wenige Trauben hängen noch an den Reben, in der Hoffnung auf einen diesjährigen Eiswein.",https://media0.faz.net/ppmedia/aktuell/3927555043/1.8402076/facebook_teaser/steile-sache-bei-der-arbeit-im.jpg,2022-10-23T10:50:25Z,,"Auch in Deutschlands kleinstem Weinanbaugebiet ist die Lese abgeschlossen. Doch ein paar Trauben hängen noch. Denn die Winzer von der Hessischen Bergstraße hoffen darauf, dass es in den nächsten Woch… [+2371 chars]",,de,'Weinlese Herbst'
https://www.wiwo.de/politik/deutschland/inflation-wandern-statt-skifahren-viele-wollen-am-winterurlaub-sparen/28762652.html,https://www.wiwo.de/politik/deutschland/inflation-wandern-statt-skifahren-viele-wollen-am-winterurlaub-sparen/28762652.html,0,www.wiwo.de,Tourismus: Wandern statt Skifahren: Viele wollen am Winterurlaub sparen,Skiurlaub in den Alpen ist teurer als Sommerferien am Nordseestrand. Die inflationsbedingte Schrumpfung des verfügbaren Einkommens wird für Wintersportorte voraussichtlich nicht folgenlos bleiben.,https://www.wiwo.de/images/deutsche-skigebiete/28762656/1-format11240.jpg,2022-10-23T11:28:43Z,https://web.archive.org/web/20221023120000/http://www.wiwo.de/politik/deutschland/inflation-wandern-statt-skifahren-viele-wollen-am-winterurlaub-sparen/28762652.html,Skigebiete und Winterurlaubsorte werden in der kommenden Saison voraussichtlich die Folgen der hohen Inflation spüren. Nach einer neuen Umfrage will wegen steigender Kosten über ein Viertel der poten… [+3181 chars],,de,'Ski Winter'
https://www.sueddeutsche.de/wirtschaft/winterurlaub-sparen-statt-verreisen-1.5680019,https://www.sueddeutsche.de/wirtschaft/winterurlaub-sparen-statt-verreisen-1.5680019,0,www.sueddeutsche.de,Winterurlaub: Sparen statt verreisen,Skigebiete und Winterurlaubsorte stehen vor einer voraussichtlich schwierigen Saison. Nach einer neuen Umfrage will wegen steigender Kosten fast die Hälfte der...,https://www.sueddeutsche.de/assets/png/sz-ecb090256670a577bd629a9718686332.png,2022-10-23T16:47:05Z,https://web.archive.org/web/20221023185246/https://www.sueddeutsche.de/wirtschaft/winterurlaub-sparen-statt-verreisen-1.5680019,Skigebiete und Winterurlaubsorte stehen vor einer voraussichtlich schwierigen Saison. Nach einer neuen Umfrage will wegen steigender Kosten fast die Hälfte der potenziellen Winterurlauber auf Ferien … [+743 chars],,de,'Ski Winter'
https://www.welt.de/reise/winter/article241725975/Skifahren-im-Winter-Die-Skipass-Preise-gehen-durch-die-Decke.html,https://www.welt.de/reise/winter/article241725975/Skifahren-im-Winter-Die-Skipass-Preise-gehen-durch-die-Decke.html,0,www.welt.de,Die Skipass-Preise gehen durch die Decke,Preisschock für Wintersportler: Der Skiurlaub wird im kommenden Winter wesentlich teurer. Grund sind die hohen Energiekosten in Folge des Ukraine-Krieges. Dynamische Preise und Rabatte sorgen zudem für Unsicherheit. Einen Tipp für Sparer gibt es aber.,https://img.welt.de/img/reise/winter/mobile241727471/3081355827-ci16x9-w1200/Switzerland-Graubuenden-Obersaxen-female-Skier.jpg,2022-10-24T05:21:14Z,https://web.archive.org/web/20221024053841/https://www.welt.de/reise/winter/article241725975/Skifahren-im-Winter-Die-Skipass-Preise-gehen-durch-die-Decke.html,Hoffentlich schneit es bald. Die Skifahrer können es kaum noch erwarten. Eines ist aber bereits sicher: Das Skivergnügen wird im kommenden Winter einen Kostenschub erleben wie lange nicht. Schuld an … [+5355 chars],,de,'Ski Winter'
https://www.tagesschau.de/sport/sportschau/skirennen-zermatt-103.html,https://www.tagesschau.de/sport/sportschau/skirennen-zermatt-103.html,0,www.tagesschau.de,Skirennen in Zermatt: Abfahrten der Männer abgesagt,Die Abfahrten der Männer am kommenden Wochenende in Zermatt mussten abgesagt werden - wegen akuten Schneemangels. Eine Ohrfeige auch für den FIS-Präsidenten.,https://www.tagesschau.de/sport/sportschau/sportschau-image-133969~_v-original.jpg,2022-10-24T12:36:37Z,https://web.archive.org/web/20221024124455/http://www.tagesschau.de/sport/sportschau/skirennen-zermatt-103.html,"Die als ikonisch angekündigten Rennen in Zermatt müssen abgesagt werden. Eine Ohrfeige auch für den FIS-Präsidenten.
Das Prestigeobjekt gerät zum Flop. ""Ikonisch"" sollten die alpinen Weltcup-Rennen … [+1649 chars]",,de,'Ski Schnee'
https://www.sueddeutsche.de/sport/ski-alpin-fis-klimawandel-1.5679973,https://www.sueddeutsche.de/sport/ski-alpin-fis-klimawandel-1.5679973,0,www.sueddeutsche.de,Ski alpin: Der Winter lässt sich nicht als Serie verkaufen,"Nach der Absage der ersten Gletscherabfahrten am Matterhorn räumt der Renndirektor des Weltverbands bemerkenswert offen ein, dass man falsch geplant habe. Das unterstreicht, wie sehr es im Skibetrieb brodelt.",https://www.sueddeutsche.de/image/sz.1.5680307/1200x675?v=1666621689,2022-10-24T14:28:23Z,https://web.archive.org/web/20221024144311/https://www.sueddeutsche.de/sport/ski-alpin-fis-klimawandel-1.5679973,"Nach der Absage der ersten Gletscherabfahrten am Matterhorn räumt der Renndirektor des Weltverbands bemerkenswert offen ein, dass man falsch geplant habe. Das unterstreicht, wie sehr es im Skibetrieb… [+3438 chars]",,de,'Ski Schnee'
https://www.sueddeutsche.de/wissen/australien-klimawandel-la-nina-hochwasser-1.5683335,https://www.sueddeutsche.de/wissen/australien-klimawandel-la-nina-hochwasser-1.5683335,0,www.sueddeutsche.de,Klima: Warum halb Australien in den Fluten versinkt,"Weite Teile des Kontinents stehen unter Wasser, manche Orte erleben das dritte Hochwasser des Jahres. Grund ist das Wetterphänomen La Niña",https://www.sueddeutsche.de/image/sz.1.5683336/1200x675?v=1666949467,2022-10-28T09:10:40Z,https://web.archive.org/web/20221028094942/https://www.sueddeutsche.de/wissen/australien-klimawandel-la-nina-hochwasser-1.5683335,"Teile des Kontinents stehen unter Wasser. Grund ist das Wetterphänomen La Niña - aber nicht nur.Hausdächer knapp über der Wasseroberfläche, Vieh kilometerweit von den Farmen weggespült: Weite Teile d… [+4475 chars]",,de,'Hochwasser Regen'
https://www.kicker.de/wintersportler-ohne-schnee-immer-mehr-probleme-durch-den-klimawandel-923697/artikel,https://www.kicker.de/wintersportler-ohne-schnee-immer-mehr-probleme-durch-den-klimawandel-923697/artikel,0,www.kicker.de,Wintersportler ohne Schnee: Immer mehr Probleme durch den Klimawandel,"Vom anstehenden Winter ist in Europa wenig zu sehen. Vielerorts ist es sommerlich. Die Skispringer starten auf Matten in die Saison, andere suchen längst nach zukunftsfähigen Alternativen.","https://derivates.kicker.de/image/upload/c_crop,x_0,y_193,w_4000,h_2250/w_1200,q_auto/v1/2022/10/31/9b5c222a-8e1e-4ee8-a8ce-1ce26906a147.jpeg",2022-10-31T12:22:00Z,https://web.archive.org/web/20221118155654/https://www.kicker.de/wintersportler-ohne-schnee-immer-mehr-probleme-durch-den-klimawandel-923697/artikel,"Vom anstehenden Winter ist in Europa wenig zu sehen. Vielerorts ist es sommerlich. Die Skispringer starten auf Matten in die Saison, andere suchen längst nach zukunftsfähigen Alternativen. 
 Zuminde… [+5850 chars]",,de,'Ski Schnee'
